domain,metric,value,interpretation
field_2d,field_short_anchor_signed_morphology_min_signed_corr,0.9394685644349674,minimum corrected signed field-trace correlation
field_2d,field_short_anchor_signed_morphology_ready_qc,1.0,1 means signed waveform morphology QC is supported
field_2d,field_short_anchor_signed_morphology_ready_amplitude_calibration,0.0,0 means robust-normalized traces are not amplitude calibration
field_2d,field_short_anchor_signed_morphology_ready_field_fwi,0.0,0 means signed morphology QC is not field FWI evidence
field_2d,field_short_anchor_signed_sensitivity_threshold_combos,320.0,signed-morphology threshold combinations swept
field_2d,field_short_anchor_signed_sensitivity_supported_combos,36.0,threshold combinations where all content-backed pairs pass
field_2d,field_short_anchor_signed_sensitivity_moderate_ready,1.0,1 means the signed morphology result survives moderate threshold tightening
field_2d,field_short_anchor_signed_sensitivity_strict_ready,0.0,0 means strict signed morphology claims remain blocked
field_2d,field_short_anchor_signed_sensitivity_corr_limit,0.9394685644349674,minimum corrected signed-correlation support limit
field_2d,field_short_anchor_signed_sensitivity_ready_field_fwi,0.0,0 means threshold sensitivity is not field FWI evidence
field_2d,field_collection_handoff_action_count,7.0,controlled-collection action groups in the current field handoff
field_2d,field_collection_handoff_critical_new_data_actions,5.0,new controlled-data groups required before field inversion
field_2d,field_collection_handoff_packet_rows_needing_entry,12.0,planned packet rows that still need measured collection entries
field_2d,field_collection_handoff_failed_acceptance_gates,7.0,acceptance gates still blocked before packet acceptance
field_2d,field_collection_handoff_reference_uncertainty_gate_ns,0.02,time-zero reference uncertainty gate for the next controlled field pass
field_2d,field_collection_handoff_ready_collection_day,1.0,"1 means the run sheet is ready for collection, not packet acceptance"
field_2d,field_collection_handoff_ready_packet_acceptance,0.0,0 means the packet still needs controlled measurements
field_2d,field_collection_handoff_ready_field_fwi,0.0,0 means the current archive still does not support field FWI
field_2d,field_collection_handoff_ready_3d_hpc,0.0,0 means the local field archive is not a 3D/HPC workload
